OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis
OB_S426_A1000000_D1_R75_Taxator-tk,3474,710,927,3,9,0,13,3,12,2,21102,32,406,3955,230,3,2918,11,8,56,14,6,14,0,12,15,4887,211,0,7873,2,0,71,3,426,58304,27,13,10,15,396,579,4,5070,3,6093,3,5053,13,16,15,177,512,883,5,696,6,1764,0,749,2231,1121,608,2678,20,2970,3,21,4,4,17,1224,80,139,8,2709,11,2,26,867,2,44,53,0,116,5990,1701,5440,3,407,2,5,5,0,0,4272,168,7,6576,492,590,12,15,6,673,15,393,7,459,9968,7437,996,5,8,15,432,1543,7,2970
OB_S426_A1000000_D1_Rall,5215,1197,3215,925,1802,820,1526,262,1339,1716,509220,2435,508,14065,1742,694,7654,193,664,1886,1219,1347,701,8729,660,1068,10245,1800,2394,7390,1678,729,2054,257,1415,55157,2423,1450,1602,679,2010,4988,1639,13174,1198,16752,236,5679,655,2655,1199,1802,1486,1929,1240,3575,1499,5821,531,1906,5984,2225,3157,7323,802,5439,283,715,1526,581,1014,18803,3694,2066,997,11062,2034,1229,1034,2704,460,3027,3326,5976,308,4943,5083,8519,271,8526,212,741,960,1853,16,9849,1442,775,8399,3214,3593,4181,1097,1018,4118,1085,2578,1376,2127,28712,22865,3116,867,274,581,16134,5179,1121,26127
OB_S426_A1000000_D10_R1000_Centrifuge,5375.5,20280.5,4691,88,2716.5,0,113,442.5,1847.5,466.5,21619,1774,5211.5,7833.5,1737,1192.5,16227,6526,1948,2539,658,534,831,0,1042.5,2607,24329,4004.5,0,8908.5,862,0,1456,854.5,6668,121734,1034.5,530,775.5,634,1919.5,2739.5,535.5,7357.5,1082,6288,1934,9289.5,796,3151.5,988.5,2823,1480,28082,574,2140.5,552,4280,0,12765,5496,14604,1180,12123.5,191,25375,1426.5,2025,928.5,3457,2223.5,21138.5,1285,1963.5,692.5,17291.5,1389.5,2038.5,787.5,1733.5,2902.5,583.5,1500.5,24850.5,2666.5,21324,10113,8621.5,0,7471,1193.5,110,753,0,1973,30448,7482.5,961,6551.5,4295.5,4144,6235,0,2136,2153,1136.5,1203.5,1025,713.5,42524.5,23295.5,1787.5,310.5,266.5,1399.5,8834.5,15431,950.5,17524.5
OB_S426_A1000000_D10_R1000_Constrains,1972.7,8332.7,12422.6,0,0,0,0,0,0,7070.9,8155.3,8680,3810.1,10804.5,10705.7,9331,10968.2,12096.9,0,0,5955.6,4853.1,7645.7,0,9195.1,0,9038,17315.1,0,5512.2,0,0,4855.5,6181.8,15781,7808,4202.8,0,0,0,8595.6,0,0,7309.5,11432.3,7624.3,0,4547,0,9397.6,9972.6,47995.1,0,16972,3305.2,5276.3,5919.7,9103.8,102545,6901,7570.8,9751.6,3940.1,0,0,3789.8,0,0,0,5986.4,0,13294.2,9221.8,20269.2,43147.1,9123.5,1006.1,0,8198.8,4628.3,26610,0,5465.4,14865.6,6650.1,8885.2,1923.1,5290.5,0,1142.4,6773.4,0,7346.9,0,0,8811.8,23890.3,4869.4,0,9763.3,13046.4,0,0,25342.7,0,148988,5673.2,10522.7,1662.8,8344.3,10670.9,4361.5,2724.3,0,11730.1,11188.1,0,4141.7,7149.3
OB_S426_A1000000_D10_R1000_Kraken,10166,22028,7497,176,5419,0,227,885,3694,932,31300,3549,9778,15480,2809,2385,10085,6755,3895,5078,1312,1067,1662,0,2085,5213,26408,5871,0,16705,1725,0,2836,1709,10946,62329,2069,1058,1551,1440,3838,4706,1065,11760,2140,12538,3868,12020,1592,3198,1959,3882,2894,21975,1142,3260,1092,7224,0,6224,7718,13463,1959,14803,382,20972,2853,4050,1857,3515,4448,34759,0,2755,1363,9344,2756,4081,1575,3170,5805,1138,2983,8917,4933,31004,20208,16137,0,12842,2387,219,1506,0,3946,7685,9853,1916,12895,2580,4514,4053,0,4263,3808,2156,2180,1986,1309,40172,10992,3183,614,514,2799,1854,30812,1901,1770
OB_S426_A1000000_D10_R1000_MetaMix*,11146.5,21975.5,7592.5,0,5627,4126,0,0,3718,0,31242.5,3554,9932,0,3378.5,0,17645,0,4161,5096,1343.5,0,0,0,2095,5222,26395.5,5876.5,0,16670,1755.5,2174,2858.5,0,10966.5,116721.5,2070,0,1593,0,3848.5,4274,0,11920,0,12473,3890.5,14244.5,1673,3315,2107.5,3878.5,2921.5,16393,0,3025.5,1100,7184.5,7318,13160.5,7639.5,13342.5,1977.5,10384.5,0,19437,2863,4056.5,1901,0,4514.5,34872,1402,0,1940,22047.5,2872.5,4143.5,1613,0,5801,1191,3063,22255.5,4742,31218.5,20111,16213.5,3442.5,13651.5,2414,0,0,0,4045,36543,9882.5,1918,13032,5206.5,0,0,661,4713.5,7500,2183,2185,2085,0,40244,24508.5,3274.5,0,0,2898.5,0,31102.5,1910,32155
OB_S426_A1000000_D10_R1000_MetaPhlan2,1972.7,8332.7,12422.6,0,0,0,0,0,0,7070.9,8155.3,8680,3810.1,10804.5,10705.7,9331,10968.2,12096.9,0,0,5955.6,4853.1,7645.7,0,9195.1,0,9038,17315.1,0,5512.2,0,0,4855.5,6181.8,15781,7808,4202.8,0,0,0,8595.6,0,0,7309.5,11432.3,7624.3,0,4547,0,9397.6,9972.6,47995.1,0,16972,3305.2,5276.3,5919.7,9103.8,102545,6901,7570.8,9751.6,3940.1,0,0,3789.8,0,0,0,5986.4,0,13294.2,9221.8,20269.2,43147.1,9123.5,1006.1,0,8198.8,4628.3,26610,0,5465.4,14865.6,6650.1,8885.2,1923.1,5290.5,0,1142.4,6773.4,0,7346.9,0,0,8811.8,23890.3,4869.4,0,9763.3,13046.4,0,0,25342.7,0,0,5673.2,10522.7,1662.8,8344.3,10670.9,4361.5,2724.3,0,11730.1,11188.1,0,4141.7,7149.3
OB_S426_A1000000_D10_R1000_PathoScope2,10265.5,22153,7485,163,5403.5,4013.5,225,885,3647,931,31287.5,3526,10092,15543,2259,2364,18810,6765,3878.5,5078,1315,1062,1662,3546,2085,5202,26470,5868,0,16757,1724,1943,2788,1709,10911.5,116552.5,2066,1063,1577,1268,3839,4701,1040,11976.5,1958.5,12540,3875,14126.5,1580,3421,1848,3841,2871,24214.5,1038,3202.5,953.5,7311.5,373,13206,7909,13252,1936.5,15015.5,381,20941,2846,4035,1841,3498.5,4438,34735,1404,1293,1769.5,21164,2749,4081,1571,3175,5909,1136,2904,22451.5,4893,31151.5,20419,16096,3369,12847.5,2387,213,1506,0,3938,36072,10688.5,1873,13003,4915.5,9533.5,1687.5,387,4467,2810,1006,2477.5,1674.5,1677.5,41865,24784,2969.5,477,501,2794,9048,30868.5,1901,33113
OB_S426_A1000000_D10_R1000_Sigma,0,31758.37,6553.56,260.729,7980.69,5855.55,332.836,0,0,1372.58,46002,0,0,20462.03,0,3510.97,20476.74,0,0,0,1932.21,1571.4,2447.67,5186.93,3070.63,0,0,7838.66,0,13531.7,2538.98,0,4312.86,2516.88,12134.6,171443.37,0,0,2282.72,0,3496.25,878.554,0,9031.45,0,14015.903,0,16212.41,2344.58,4684.73,0,4750.72,0,20004,0,3734.08,1617.54,2286.65,10132.1,12214.8,4907.11,15478.11,0,18887.68,564.053,26827.15,0,0,0,5161.9,0,50866.4,1998.49,3703.92,0,20314.73,4058.83,0,0,2783.45,0,0,0,25838.9,4836.42,41808.23,14283.95,6074.22,0,10525.642,0,0,2216.45,0,5811.37,48961.29,12279.6,0,7344.47,5632.49,0,0,0,6295.89,0,3227.67,2422.63,0,0,54213.37,27548.26,0,924.871,0,0,13032.14,19877.31,2799.65,47714.83
OB_S426_A1000000_D10_R1000_Taxator-tk,7265,20515,7040,8,221,0,20,46,219,14,5660,143,9762,14200,1922,73,16420,770,263,415,84,59,199,0,157,227,25816,3530,0,15867,24,28,150,122,9251,113649,83,65,87,171.5,3200,3718,26,11362,70,12490,221,13295,119,197,102,1951,2649,21954,41,2882.5,26,6584,0,12438,6982,12710,1621.5,14005,36,20096,93,239,58,297,150,10834,411,1557,46,18760,125,107,186,2935,370,179,316,0,4186,29545,11500,13523,245,5951,152,5,81,0,125,35580,4738,70,11804,3695,4234,197,26,129,3157,147,1775,38,1045,38870,23994,2846,27,59,252,3931,24002,102,14869
OB_S426_A1000000_D10_R150_Centrifuge,5427,21719,5248.5,111,2720,0,113,462,1907,429.5,18190.5,1792,5520.5,7809.5,1926.5,1146.5,16837.5,6517.5,1947,2510.5,629.5,525,827.5,0,1025,2499.5,25282.5,4272.5,0,9521.5,876.5,0,1457.5,878.5,7535,117852,1003,571.5,811,724,1791.5,2870.5,544.5,8366,1128.5,6303.5,1947,11697,811,3183,1005.5,3113,1523,30074.5,571,2659,572,4642,0,14582,5688,16110.5,1170.5,14353.5,191.5,24888,1404.5,2071,936.5,3453,2241,19295,1300,2177.5,731.5,18727.5,1413.5,1970.5,779.5,1956.5,2892.5,583.5,1509.5,22636,2917,26991,10136.5,9077.5,0,7581.5,1200,107.5,802.5,0,2035.5,26060.5,7911.5,951,6500.5,4750,4256,6271.5,0,2126.5,2445.5,1145,1262.5,1034,788.5,37048.5,23463,1896,330.5,262,1400.5,6892.5,15412,890.5,17079
OB_S426_A1000000_D10_R150_Constrains,2203.5,8007.4,12114.6,69.8,0,0,564.7,0,0,5583.5,9199.8,8727.3,4067.8,8968,9306.2,8344.5,9047.8,9793.5,238.9,0,6349.4,5153.9,6333.6,0,7940.6,0,8148.8,14146.6,0,6983.6,0,0,5228.3,4737.4,13577.2,7351.8,4323.3,0,0,0,7082,0,0,6934.2,10973.9,7492.6,0,4385.6,0,8861.5,10961.7,60262.7,0,15988,4269.4,5353.3,7257.9,8866.2,90927.6,6656.7,7500.4,9177.2,3920.6,0,744.9,4225.8,0,0,0,5669.1,0,11214.5,7393.1,31288.5,51465.5,9700.1,1805.7,0,6808.7,4440.2,22603.4,0,5200.2,12560.5,6196.6,8101.6,3079.4,5228.2,0,1314.3,6284.6,40.4,7094.9,0,0,7997.8,21221,6177.8,0,8945.8,13676.2,0,0,22964.7,0,157480,5384.2,16493.6,2609.4,8159.7,9434.3,4227.2,4019.8,0,10714,9957,0,5289,6248.8
OB_S426_A1000000_D10_R150_Kraken,9894,22247,7416,215,5424,0,226,924,3811,859,31571,3584,9571,15433,2780,2293,8242,6713,3893,5021,1259,1050,1655,0,2049,4996,26361,5944,0,16967,1753,0,2830,1757,10923,51017,2006,1140,1619,1475,3567,4638,1076,11633,2194,12459,3894,10490,1622,3205,1974,3961,2897,20182,1120,3303,1118,7154,0,4750,7675,13275,1822,14824,383,20982,2809,4142,1873,3475,4482,34780,0,2688,1371,7367,2798,3941,1559,3167,5784,1135,2990,6960,4946,30568,20176,16032,0,12995,2398,212,1605,0,4071,6104,9808,1864,12712,2018,4117,3891,0,4220,3758,2044,2056,1947,1388,40042,7562,3203,643,508,2801,1273,30733,1781,992
OB_S426_A1000000_D10_R150_MetaMix*,9804.5,22178,7455,250.5,5428.5,3883.5,224.5,923.5,3803.5,859,31513.5,3580,10170.5,15528.5,2680.5,2290.5,18223,6710.5,3890,5020.5,1257.5,1049,1651.5,3456,0,4992,26143.5,5962,0,16951.5,1755,2116.5,2893,1754,10901.5,117393,2003.5,1140.5,1609.5,1361.5,2934.5,4644.5,0,11816.5,0,12325,3891,14469,1624,0,2404,3967.5,2889.5,0,1272.5,3185,0,7591,21201.5,13293.5,7578,13512.5,1802.5,10148.5,374,20741,2809.5,4141,0,0,4487,34583.5,0,2414.5,0,21527.5,2799,3941,1557.5,2940.5,5780.5,1153,2996.5,22421,4939.5,30244,20234,14537.5,3403.5,13021.5,2394.5,0,0,0,4068,36040.5,9910.5,1842.5,12800.5,4640.5,6180,4185.5,0,4433.5,3857,1865,1961.5,1899,1345.5,40676,24116.5,3203.5,0,550,2788.5,9181.5,30725.5,1779.5,32566
OB_S426_A1000000_D10_R150_MetaPhlan2,2203.5,8007.4,12114.6,69.8,0,0,564.7,0,0,5583.5,9199.8,8727.3,4067.8,8968,9306.2,8344.5,9047.8,9793.5,238.9,0,6349.4,5153.9,6333.6,0,7940.6,0,8148.8,14146.6,0,6983.6,0,0,5228.3,4737.4,13577.2,7351.8,4323.3,0,0,0,7082,0,0,6934.2,10973.9,7492.6,0,4385.6,0,8861.5,10961.7,60262.7,0,15988,4269.4,5353.3,7257.9,8866.2,90927.6,6656.7,7500.4,9177.2,3920.6,0,744.9,4225.8,0,0,0,5669.1,0,11214.5,7393.1,31288.5,51465.5,9700.1,1805.7,0,6808.7,4440.2,22603.4,0,5200.2,12560.5,6196.6,8101.6,3079.4,5228.2,0,1314.3,6284.6,40.4,7094.9,0,0,7997.8,21221,6177.8,0,8945.8,13676.2,0,0,22964.7,0,157480,5384.2,16493.6,2609.4,8159.7,9434.3,4227.2,4019.8,0,10714,9957,0,5289,6248.8
OB_S426_A1000000_D10_R150_PathoScope2,10109.5,22321.5,7437.5,211,5425.5,3885.5,224.5,924,3794.5,859,31587,3579,10175.5,15532.5,2877.5,2289,18172.5,6718,3892.5,5021,1260,1048.5,1655,3514,2049,4995,26449.5,5939.5,0,16914.5,1753,2116.5,2821,1757,10958.5,117463.5,2006,1133.5,1624,1360.5,3574,4638,1069.5,11656,2173,12459.5,3894,14434.5,1622,3224,1985,3951,2887,23478.5,1105,3322.5,1096,7197,966.5,13393.5,7676.5,13261.5,1818.5,15166.5,383,20976.5,2809,4141,1864,3473,4481,34738.5,1353,2518,1255.5,20520.5,2797,3941,1558.5,3190.5,5787,1130.5,2989.5,22428.5,4941.5,30664,20195.5,16089,3401.5,13014,2398,210.5,1605.5,0,4071,36578.5,10051.5,1830,12701.5,5013,5855,4690.5,465,4226.5,3561.5,2018.5,2056,1903.5,1378.5,40745.5,24323.5,3185.5,630.5,504.5,2799.5,9195.5,30744,1781,32892.5
OB_S426_A1000000_D10_R150_Sigma,0,30541.04,7417.99,312.935,7539.33,5398.74,314.139,0,0,1194.01,43850.1,0,0,19691.87,0,3187.27,21692.42,0,0,0,1750,1458.1,2300.44,4869.16,2846.71,0,0,7726.26,0,15259,2436.66,0,4073.1,2442.22,13560.3,162682.35,0,0,2258.74,0,3149.73,913.367,0,11371.63,0,14008.362,0,18228.25,2254.57,4481.47,0,4800.71,0,20514.7,0,4050.71,1568.75,3380.9,10677,14881.3,5477.97,16047.45,0,19331,530.978,26814.35,0,0,0,4824.67,0,48099.38,1836.18,3676.68,0,22631.76,3889.2,0,0,3459.7,0,0,0,26543.3,5969.08,41191.06,13622.83,9658.26,0,9777.92,0,0,2229.55,0,5657.28,48514.33,12288.5,0,7265.5,6187.84,0,0,0,5928.18,0,2920.95,2559.05,0,0,53794.4,29852.49,0,940.758,0,0,12625.33,18728.23,2472.8,45568.34
OB_S426_A1000000_D10_R150_Taxator-tk,4924.5,18486.5,5669,2,100.5,0,9,28,108,4,1970,89,9579.5,12769.5,1108,25,14452,527.5,119,195.5,43.5,19,80,0,106.5,115,24271.5,2224.5,0,15227,18,16.5,84.5,56.5,6721.5,110197,38,39.5,41.5,83,2147.5,2515.5,13,10751,29.5,12213,109,12509.5,51,80.5,68.5,1030.5,2264,17297,21,1970.5,16,5945.5,0,9466.5,6566.5,11296,1103,12602.5,21.5,18649.5,52,122.5,27,114,61.5,3843.5,178.5,602,26.5,14409,52.5,45,103.5,2396,215.5,97.5,178.5,0,2709.5,27447,7069,11080.5,125.5,4306,58,7.5,33.5,0,66.5,30655,2827,29.5,10675,2358.5,3078,48.5,19,82.5,2233,106.5,1010.5,21,878.5,35092.5,21636.5,2547.5,17.5,42.5,131,1600,19055.5,49.5,5950
OB_S426_A1000000_D10_R300_Centrifuge,5287,20251,4636,107.5,2662.5,0,118,428.5,1865.5,465,19891,1728.5,5255,7738.5,1776,1209.5,16135.5,6598.5,1966,2478,645.5,524.5,824.5,0,996.5,2545,24632,4185,0,9011,858,0,1464,845.5,6582,121188,1010.5,531.5,793,667,1851,2737.5,516,7396.5,1031,6269,1969.5,9449,820.5,3088.5,1024.5,2919,1472.5,28708,579,2216.5,598.5,4330.5,0,13220,5464.5,14764.5,1113.5,12339.5,195,25240,1456,2040.5,906,3304,2207.5,20254.5,1250.5,1987,672.5,16920.5,1415.5,2063,820.5,1713,2907,583.5,1479,24034.5,2761,21556,10248,8561,0,7398.5,1258,118,773.5,0,1972.5,28677,7413,986,6543,4292.5,3996,6108.5,0,2160,2176.5,1130,1202,1004,739.5,42040,23326.5,1760.5,314.5,279,1422,7992,15331,962.5,17659
OB_S426_A1000000_D10_R300_Constrains,2183.9,8098.2,12639,0,0,0,301.2,0,0,6210.7,8713.1,8555,4272.4,9591.2,10276.9,9079.2,9591.7,11311,201.2,0,6095.3,5265,6694.9,0,8043.6,0,8719,16014.9,0,6473.6,0,0,5386.1,4748.2,14670.6,7807.9,4320.4,0,0,0,7736.9,0,0,7338.1,10549.7,7903.6,0,4512,0,8882.5,10619.5,34036.4,0,16561,4588.3,5494.5,7938.6,9305.5,94475.6,6932.8,8021.4,9690.4,4042.5,0,359.3,4125.3,0,0,0,5740,0,12092.9,7802.9,27807.7,45996.4,9776.8,1712.1,0,7787.7,4686.6,24789.8,0,5201.9,13635.7,7090.9,8648.2,2771.6,5331.7,0,1274.2,6989.8,0,7559,0,0,8506.2,23213.7,6238.5,0,9518.8,13459.1,0,0,24659.1,0,164568,5819.9,13184.4,2352.4,8528,10113.9,4311.5,3886.1,0,11320.5,10596.5,0,4760.5,6805.1
OB_S426_A1000000_D10_R300_Kraken,9943,21959,7364,213,5308,0,236,857,3731,930,31322,3457,9897,15307,2870,2419,9824,6811,3930,4957,1291,1049,1649,0,1993,5090,26545,6096,0,16947,1716,0,2859,1691,10754,62046,2021,1062,1585,1402,3699,4735,1025,11771,2022,12499,3939,12000,1641,3130,2033,3995,2882,21885,1148,3278,1187,7228,0,6192,7763,13412,1843,14797,390,21079,2912,4081,1812,3351,4415,34506,0,2787,1323,9390,2805,4126,1641,3131,5815,1147,2936,8831,5090,30788,20463,16025,0,12774,2514,236,1547,0,3945,7547,9752,1967,12865,2452,4353,3987,0,4299,3835,2141,2159,1943,1364,40603,10638,3108,622,543,2844,1847,30581,1925,1808
OB_S426_A1000000_D10_R300_MetaMix*,9846.5,21972,7194,220.5,5415.5,4010,258,0,3739,946.5,31263,3450.5,10095.5,0,0,2810.5,20163,6774.5,4022,4967,0,0,1647.5,0,0,5083,26478,6055.5,0,17003.5,1734,2167.5,2845,0,10743.5,117399.5,2013.5,1068.5,0,0,3705,4836.5,0,11345,2061.5,12427,3952,14260,1664.5,3601,0,3976,2901.5,19267,0,3029.5,0,7872.5,4864,13190,7284,13321,0,14858.5,0,20894.5,2925,4060,1823,3360,4445.5,34359,1355.5,2444,0,21332.5,2867,4152.5,1651,3129,6026,1226,0,22360.5,5107.5,30714,20368.5,16050,3345.5,13199,2526.5,0,1578.5,0,3978.5,36663.5,9839,1959,12532,4680,6143.5,4215.5,460.5,4387.5,3914,1930,0,1965.5,1348.5,41024.5,24187,2855.5,615,0,2908.5,0,30658,1933.5,32546.5
OB_S426_A1000000_D10_R300_MetaPhlan2,2183.9,8098.2,12639,0,0,0,301.2,0,0,6210.7,8713.1,8555,4272.4,9591.2,10276.9,9079.2,9591.7,11311,201.2,0,6095.3,5265,6694.9,0,8043.6,0,8719,16014.9,0,6473.6,0,0,5386.1,4748.2,14670.6,7807.9,4320.4,0,0,0,7736.9,0,0,7338.1,10549.7,7903.6,0,4512,0,8882.5,10619.5,34036.4,0,16561,4588.3,5494.5,7938.6,9305.5,94475.6,6932.8,8021.4,9690.4,4042.5,0,359.3,4125.3,0,0,0,5740,0,12092.9,7802.9,27807.7,45996.4,9776.8,1712.1,0,7787.7,4686.6,24789.8,0,5201.9,13635.7,7090.9,8648.2,2771.6,5331.7,0,1274.2,6989.8,0,7559,0,0,8506.2,23213.7,6238.5,0,9518.8,13459.1,0,0,24659.1,0,164568,5819.9,13184.4,2352.4,8528,10113.9,4311.5,3886.1,0,11320.5,10596.5,0,4760.5,6805.1
OB_S426_A1000000_D10_R300_PathoScope2,10148,22005.5,7373,207.5,5308.5,3935.5,235.5,857,3723.5,930,31328,3455.5,10188,15322,2936,2415.5,18214,6814.5,3929,4957,1291,1049,1649,3562,1993,5090,26621,6098,0,16929.5,1716,2137.5,2846,1691,10780,117183.5,2021,1057,1587,1282,3700,4735,1023.5,11794,2006,12499,3939,14345.5,1641,3141,2053,3988,2876.5,23093.5,1131.5,3306,1169,7262.5,1054.5,13396.5,7760.5,13392.5,1840.5,15039.5,390,21079,2912,4081,1809,3350,4415,34455,1348.5,2713,1261,20053,2804,4126,1641,3153,5819,1135,2936,22341.5,5089.5,30836,20469,16080.5,3312,12797,2514,236,1547,0,3945,36684.5,10036.5,1942.5,12857.5,5058,5949,4520,445,4303.5,3627,2138.5,2157.5,1906.5,1360,41071,24484.5,3095,615.5,536.5,2844,9050,30586,1925,32937.5
OB_S426_A1000000_D10_R300_Sigma,0,31105.34,6646.15,312.186,7673.96,5684.63,341.193,0,0,1344.53,45200.9,0,0,19984.34,0,3495.79,20792.59,0,0,0,1866.44,1515.13,2384.02,5128.02,2881.35,0,0,8047.73,0,14044.2,2480.88,0,4259.46,2443.29,12519.5,168688.04,0,0,2292.93,0,3384.46,880.494,0,9663.03,0,13753.271,0,17203.68,2371,4516.47,0,4848.87,0,20332.5,0,3851.09,1724.77,2418.7,10290.7,13393.3,4804.17,15386.34,0,19053.34,563.836,26860.29,0,0,0,4833.09,0,49523.61,1901.14,3723.15,0,20470.78,4055.29,0,0,3049.05,0,0,0,26008.8,5448.97,41986.52,14221.65,7088.88,0,10086.703,0,0,2236.55,0,5701.98,49162.86,12106.4,0,7246.02,5848.6,0,0,0,6259.77,0,3156.63,2530.04,0,0,54711.39,28720.7,0,919.811,0,0,12822.22,19539.05,2781.59,47425.75
OB_S426_A1000000_D10_R300_Taxator-tk,6268,19858.5,6593,4.5,141.5,0,11.5,34,138,6.5,3419,107.5,9835,13625,1591,32,15816.5,661,176.5,273,65.5,33,135.5,0,114,163,25637,3026,0,15867.5,28.5,14,126.5,90.5,8297,112698,65,50.5,56.5,111.5,2762.5,3298.5,17.5,11231.5,50,12398.5,173,13228,69,127.5,101,1515,2548,20487,33,2534.5,24,6431,0,11494.5,6921.5,12287.5,1386,13751,43,19815.5,62,169.5,45,162,111,6920.5,262,1101,37,17463.5,88,77.5,157.5,2769.5,311,111,235,0,3746.5,28940.5,9828,12640.5,165,5256.5,107.5,7,44,0,92.5,34633.5,3804,49,11523,3166.5,3777.5,108.5,19.5,103,2857.5,144.5,1461.5,31,1008.5,38554,23439,2685.5,25,45,182,2627.5,22062.5,66,9843.5
OB_S426_A1000000_D10_R75_Centrifuge,5981.5,22931.5,6237.5,113.5,2739,0,111,446.5,1904.5,458,16766,1781,6520.5,7640.5,2314.5,1163,17123.5,6673.5,1926.5,2460.5,644,531.5,800.5,0,1009.5,2627.5,24618,4829,0,11186,856.5,0,1424.5,906,9375,106094,994.5,542.5,818,744,1882,3232.5,543,10181.5,1081.5,6942,2007.5,14789.5,833.5,3228,1022,3241.5,1656,29350.5,614,3308,591.5,5361,0,14571,6327.5,19214,1280,17543.5,178.5,24401.5,1441,2031,886,3514.5,2286,18341,1361.5,2645,888.5,19620,1433.5,2020,774,2462.5,2903,600.5,1435.5,20621,3353,36979.5,10015.5,10333,0,7670,1196.5,106.5,807,0,1919.5,23822,8257.5,1060,6490.5,5540,4875.5,6342,0,2160.5,3233.5,1304,1585.5,1042.5,800,31980,21230,2055,322.5,278.5,1420.5,5732.5,15493.5,966,16731
OB_S426_A1000000_D10_R75_Constrains,2425,7675.4,12820.7,187.1,0,0,578.1,0,0,6245.5,10026.5,9011.6,4050.2,8848,10087,8575.7,8779.3,11098.1,276.9,0,6363.2,5504,6137.6,0,7975,0,8264.4,15042.8,0,7686.4,0,0,6213.2,5667,13655.6,7358.6,4504.6,0,0,0,6758,0,0,6846.3,10182.4,7220.9,0,4989.4,0,9204.9,11213.2,47035.8,0,16445.7,5094.6,5180,7787.8,8709.4,91272.8,6916.6,7476.8,9509.1,4183.3,0,748,4150.2,0,0,0,6558.9,0,11096.8,7851.5,34520.4,51534.2,9568.1,1982.4,0,6993.1,4548.6,23424.6,0,4874,12845.7,6438.3,8137.8,3088.7,5360.1,0,1353.3,6617.3,47.8,7225.3,0,0,8112.1,21585.1,6893.1,0,9196.1,13804.9,0,0,22995.2,0,145584,6030.3,20113.7,2638.7,8605.4,9677.3,4306.9,4070,0,10970.7,9710.3,0,6002,6419.2
