FPR,TPR,Organism,Species,Abundance,Dominance,Read Length,Software
0.00722892,0.181818,OB,S100,A100000,D1,R150,Constrains
0.0167064,0.142857,OB,S100,A100000,D1,R300,Constrains
0.00722892,0.2,OB,S100,A100000,D1,R75,Constrains
0.00261097,0.866667,OB,S100,A100000,D1,R1000,Kraken
0.00261097,0.870968,OB,S100,A100000,D1,R150,Kraken
0.00261097,0.870968,OB,S100,A100000,D1,R300,Kraken
0.00261097,0.862069,OB,S100,A100000,D1,R75,Kraken
0.0102828,0.805556,OB,S100,A100000,D1,R1000,MetaMix*
0.0128205,0.787879,OB,S100,A100000,D1,R150,MetaMix*
0.0178571,0.78125,OB,S100,A100000,D1,R300,MetaMix*
0.0203562,0.787879,OB,S100,A100000,D1,R75,MetaMix*
0.0283019,0.0526316,OB,S100,A100000,D1,R1000,MetaPhlan2
0.00722892,0.162791,OB,S100,A100000,D1,R150,MetaPhlan2
0.0190476,0.121951,OB,S100,A100000,D1,R300,MetaPhlan2
0.00722892,0.162791,OB,S100,A100000,D1,R75,MetaPhlan2
0.0748792,0.583333,OB,S100,A100000,D1,R1000,PathoScope2
0.00519481,0.852941,OB,S100,A100000,D1,R150,PathoScope2
0.00519481,0.848485,OB,S100,A100000,D1,R300,PathoScope2
0.0179487,0.833333,OB,S100,A100000,D1,R75,PathoScope2
0.00507614,0.5625,OB,S100,A100000,D1,R1000,Sigma
0.00507614,0.621622,OB,S100,A100000,D1,R150,Sigma
0.00507614,0.575758,OB,S100,A100000,D1,R300,Sigma
0.00254453,0.621622,OB,S100,A100000,D1,R75,Sigma
0.101828,0.789474,OB,S100,A100000,D1,R1000,Taxator-tk
0.101828,0.733333,OB,S100,A100000,D1,R150,Taxator-tk
0.101828,0.733333,OB,S100,A100000,D1,R300,Taxator-tk
0.104167,0.6,OB,S100,A100000,D1,R75,Taxator-tk
0.091623,0.9,OB,S100,A100000,D10,R1000,Centrifuge
0.091623,0.9,OB,S100,A100000,D10,R150,Centrifuge
0.091623,0.9,OB,S100,A100000,D10,R300,Centrifuge
0.091623,0.90625,OB,S100,A100000,D10,R75,Centrifuge
0.0342298,0.393939,OB,S100,A100000,D10,R1000,Constrains
0.0125,0.5,OB,S100,A100000,D10,R150,Constrains
0.0174129,0.487179,OB,S100,A100000,D10,R300,Constrains
0.0125,0.512195,OB,S100,A100000,D10,R75,Constrains
0.00261097,0.902439,OB,S100,A100000,D10,R1000,Kraken
0.00261097,0.897436,OB,S100,A100000,D10,R150,Kraken
0.00261097,0.902439,OB,S100,A100000,D10,R300,Kraken
